Game,Opponent,PlayerA_Score,PlayerB_Score,Cumulative_Score,CCs,DDs,Winner
38297,UCBPlayer,119,154,273,10,79,UCBPlayer
38298,UCBPlayer,112,332,444,25,27,UCBPlayer
38299,UCBPlayer,127,137,264,10,82,UCBPlayer
38300,UCBPlayer,104,349,453,25,24,UCBPlayer
38301,UCBPlayer,126,126,252,7,85,Tie
38302,UCBPlayer,111,351,462,28,22,UCBPlayer
38303,UCBPlayer,116,126,242,3,87,UCBPlayer
38304,UCBPlayer,122,347,469,32,21,UCBPlayer
38305,UCBPlayer,107,132,239,0,87,UCBPlayer
38306,UCBPlayer,132,337,469,35,22,UCBPlayer
38307,UCBPlayer,103,148,251,0,83,UCBPlayer
38308,UCBPlayer,136,321,457,35,26,UCBPlayer
38309,UCBPlayer,99,164,263,0,79,UCBPlayer
38310,UCBPlayer,140,305,445,35,30,UCBPlayer
38311,UCBPlayer,95,180,275,0,75,UCBPlayer
38312,UCBPlayer,144,289,433,35,34,UCBPlayer
38313,UCBPlayer,91,196,287,0,71,UCBPlayer
38314,UCBPlayer,148,273,421,35,38,UCBPlayer
38315,UCBPlayer,87,212,299,0,67,UCBPlayer
38316,UCBPlayer,152,257,409,35,42,UCBPlayer
38317,UCBPlayer,84,224,308,0,64,UCBPlayer
38318,UCBPlayer,146,251,397,32,45,UCBPlayer
38319,UCBPlayer,89,234,323,3,60,UCBPlayer
38320,UCBPlayer,138,243,381,28,49,UCBPlayer
38321,UCBPlayer,97,242,339,7,56,UCBPlayer
38322,UCBPlayer,130,235,365,24,53,UCBPlayer
38323,UCBPlayer,105,250,355,11,52,UCBPlayer
38324,UCBPlayer,122,227,349,20,57,UCBPlayer
38325,UCBPlayer,109,259,368,15,49,UCBPlayer
38326,UCBPlayer,118,218,336,16,60,UCBPlayer
38327,UCBPlayer,117,267,384,19,45,UCBPlayer
38328,UCBPlayer,110,210,320,12,64,UCBPlayer
38329,UCBPlayer,126,271,397,23,42,UCBPlayer
38330,UCBPlayer,105,210,315,10,65,UCBPlayer
38331,UCBPlayer,130,275,405,25,40,UCBPlayer
38332,UCBPlayer,105,210,315,10,65,UCBPlayer
38333,UCBPlayer,130,275,405,25,40,UCBPlayer
38334,UCBPlayer,106,206,312,10,66,UCBPlayer
38335,UCBPlayer,130,275,405,25,40,UCBPlayer
38336,UCBPlayer,105,210,315,10,65,UCBPlayer
38337,UCBPlayer,131,271,402,25,41,UCBPlayer
38338,UCBPlayer,105,210,315,10,65,UCBPlayer
38339,UCBPlayer,130,275,405,25,40,UCBPlayer
38340,UCBPlayer,105,210,315,10,65,UCBPlayer
38341,UCBPlayer,130,275,405,25,40,UCBPlayer
38342,UCBPlayer,103,203,306,10,68,UCBPlayer
